userID_1,userID2
3024143713,2378604816
815030011149357056,1051875990660628487
836241587701047296,960912977443647495
1031571313352224768,3028710238
700678050522923008,3922091482
2811088225,83862181
83864501,44632639
815030011149357056,267370141
1011629647728119809,1055144417995177985
741637994390654977,708354758768267265
741637994390654977,900344830672416769
1055144417995177985,1011629647728119809
900344830672416769,741637994390654977
708354758768267265,741637994390654977
4416495148,3922091482
3157619841,1000084868813000704
990701554725466112,1019973060231815169
859278447046045696,914543036658585601
740935591383212032,1019973060231815169
1034381700858568704,954813819905347585
57350105,19072286
939513210541105152,1030788067077091329
3589781117,780826748975919104
874001856875376641,3395178671
838844979971751936,2760478539
482913109,2727433546
710416032897376256,3024143713
1050462386010886144,2799796251
1046046245322665985,2786236632
2800564538,903674932026060801
1513156410,830794226849898497
3922091482,700678050522923008
3216374255,867848771190890496
3241076747,4925506083
267370141,815030011149357056
795614569729323008,4857646727
946490535145017346,1044445642448359425
2378604816,3024143713
3246797189,4836176884
83862181,2811088225
19072286,57350105
727309103291232261,2764947676
2290131390,3078664183
3395178671,874001856875376641
3922091482,961737968565268485
2773401419,4416495148
1011629647728119809,4416495148
973593232960643072,2867393932
961737968565268485,3922091482
914543036658585601,859278447046045696
1019973060231815169,740935591383212032
780826748975919104,3589781117
1019973060231815169,990701554725466112
1030788067077091329,939513210541105152
954813819905347585,1034381700858568704
2799796251,1050462386010886144
1000084868813000704,3157619841
4857646727,795614569729323008
803942984391815168,1026489830254018562
994261121254215683,817106886831042560
2727433546,482913109
2422165656,784441205421666304
3241076747,3713528112
4416495148,1011629647728119809
784441205421666304,2422165656
4836176884,817204518551027713
4416495148,2773401419
4836176884,3246797189
3024143713,710416032897376256
817204518551027713,4836176884
3922091482,4416495148
3078664183,2290131390
3713528112,3241076747
1051875990660628487,815030011149357056
3028710238,1031571313352224768
960912977443647495,836241587701047296
4561465525,2185346959
2760478539,838844979971751936
817106886831042560,994261121254215683
44632639,83864501
709851261873557504,819963737050349568
1044445642448359425,946490535145017346
709851261873557504,2417720653
4925506083,3241076747
819963737050349568,83862181
2417720653,709851261873557504
1099949654811308032,784441205421666304
851504237888626688,1040339787364950016
875750160701194240,980171231608614912
980171231608614912,875750160701194240
784441205421666304,1099949654811308032
1006923207536988160,979435082334326784
979435082334326784,1006923207536988160
819963737050349568,709851261873557504
1040339787364950016,851504237888626688
2185346959,4561465525
867848771190890496,3216374255
83862181,819963737050349568
2564422427,3416591903
2764947676,727309103291232261
2867393932,973593232960643072
903674932026060801,2800564538
830794226849898497,1513156410
1026489830254018562,803942984391815168
3416591903,2564422427
2786236632,1046046245322665985
