id,screenName,name,wearGlasses,city,age,income
3149077037,easySmuu,SMUU,False,,0,0
852507511315996676,0range06,Orange,False,,0,0
875750160701194240,Huszkiee,Husky.-,False,"Frankfurt am Main, Deutschland",0,0
3401961129,TheA13X,Alexis Anonymos,False,"Munich, Germany",0,0
754852421944221696,AriaCreationsBT,AriaCreations,False,Germany,0,0
961421662439780352,OmagadCM,Omagad,False,Belgique,0,0
838361927235555328,Hyrisesocial,Hyrise Server,False,,0,0
745173836463648768,TashiJawed,Tashi Jawed,False,"Karachi, Pakistan",0,0
3019139568,JokeAuthority,Joke Authority,False,,0,0
917798743948308480,Vamp_Witch,Lady Grey,False,,0,0
483674751,BrandycapGames,Brandycap,False,,0,0
2399235733,NebelNiek,NebelNiek,True,,0,0
758090491145687040,TuberClubNET,TuberClub.net •🎙,False,Neuaufbau ➤ 20% 🔨,0,0
763080926318452736,pxvlooo,Paul,False,"Mannheim, Baden-Württemberg",0,0
769635606494257152,Tails43378320,Kanomtom,False,,0,0
363909200,_Janmm14,Janmm14,False,gegen Artikel 13,0,0
738728719225901057,DominikEnders_,Domi,False,Bavaria,0,0
2225373246,tenjava,ten.java Contest,False,Somewhere in the JVM,0,0
818941851600297985,sk22dev,Samuel Kaiser,False,"Vienna, Austria",0,0
755174937141342210,joindevathon,Devathon,False,,0,0
775728638461378560,PrivatLegal,Legalisiert,False,,0,0
2310961219,adblt,AdBolt,False,"Westford, MA",0,0
2637375141,Daniel135272834,de_point,False,,0,0
2649646517,wanodesign,Wano,False,,0,0
790633504430227457,AplatikNET,Comeback⌛,False,"Frankfurt,Deutschland",0,0
1035424639151951872,adequateEagle,adeQuady,False,,0,0
2414205444,CommitStrip,CommitStrip,False,,0,0
3652329855,Apue_,zMattii | Lαяѕ,False,"Baden-Württemberg, Germany",0,0
2473419965,marcel_boZz,marcmade,False,Fledermausland,0,0
994852433917509633,VNooblo,Dean Nooblo,False,Germany,0,0
1653345974,MarJurema,jurema aparecida mar,False,,0,0
220513643,snubbyj,Kent Jenkins,False,"California, USA",0,0
80687653,PsyonixStudios,Psyonix,True,"San Diego, CA",0,0
3014751747,BukkitFabo,BukkitFabo,False,,0,0
2894069487,askadbolt,Ask AdBolt,False,MA & NY,0,0
2729202476,Levon_30,Levon.,False,telegram.me/Levon30,0,0
1387314812,CaluconDEV,Calucon | Simon,False,Germany,0,0
2320927788,President7411,President741,False,Germany,0,0
2996387164,Der_Tac,Chijindum,False,TARDIS,0,0
4609777769,_Cyrii,Quit.,False,,0,0
717094755721736192,philp2p,phil,False,,0,0
814531588331552769,FuseMCnet,FuseMC.net,False,"Frankfurt,Deutschland",0,0
3202237744,jendrik12799,Jendrik s.,False,,0,0
2810564608,eXzHosting,eXz-Hosting.de,False,"Bad Pyrmont, Deutschland",0,0
3740752762,lvnpssr,.,False,.,0,0
1050462386010886144,ElektronikNeo,ElektronikNEO,False,Haar,0,0
2895788314,KuroJenny,Jenny ✌,False,,0,0
3236601798,Wan____i,شزواني,False,"Arau, Perlis/Yan,Kedah",0,0
520408708,naklarname,chef vo de rotn 🚩,False,in and around vienna,0,0
2683690933,EpicPvPMC,EpicPvP Netzwerk,False,TeamSpeak: ts.EpicPvP.eu,0,0
861911916767309824,ghostfire_rl,Leon Sinkel,False,,0,0
2387153874,Trashward,Trashii,False,,0,0
2890884574,AnTiSuuuu,AnTiSuuuu,False,"Greven, Deutschland",0,0
1074407715403907073,Kuurome,DK,False,"Wesel, Deutschland",0,0
2634962897,Aydo_mc,therealaydo,False,,0,0
2838090754,Rumpel3D,SnaxX,False,,0,0
4164635957,tr3_e,Fabian,False,,0,0
780047895831670784,OfficialBasti_,OfficialBasti,False,"Cologne, Germany",0,0
881592839993524224,DikkkerRL,Dikkker,False,,0,0
966603885510086656,MyotisRL,myotis.,False,"Stuttgart, Deutschland",0,0
4776803091,xIMaxwellIx,IMaxwellI,False,Deutschland,0,0
738445386675814401,private4life,Privates Leben,False,Kackistan,0,0
797150178075611136,08Antje,Iceteazx mum,False,,0,0
848592496015888384,Rizex45RL,Rizex45,False,,0,0
2377901462,Doctor_Aven,Simon Kalhofer,False,,0,0
2347274994,curi0sDE,Fabi,False,,0,0
731920622402609152,envYYYBj,fENVY,False,"Frankfurt am Main, Deutschland",0,0
2719107110,GriIlsteak,Grillsteak,False,,0,0
92104440,LANrena,LANrena Neustetten,False,Neustetten,0,0
1058815496458526722,TrinityRL09,TrinityRL,False,,0,0
4584150089,Arexor1,Arexor18,False,,0,0
2796477492,captnwindmark,Marvin Hamschmidt,False,Paderborn,0,0
2387244602,Iceteazx,Iceteazy,False,Deutschland,0,0
2409501769,VexuBet,VexuBet aka Benny,False,Germany/Online,0,0
